Kfz-Kennzeichen,Stadt oder Landkreis,abgeleitet von,Bundesland,Anmerkungen
ASZ,Erzgebirgskreis,"Aue, Schwarzenberg",Sachsen,
AT,Landkreis Mecklenburgische Seenplatte ohne die Stadt Neubrandenburg,Altentreptow,Mecklenburg-Vorpommern,
AU,Erzgebirgskreis,Aue,Sachsen,
AUR,Landkreis Aurich,Aurich,Niedersachsen,
AW,Landkreis Ahrweiler,Ahrweiler,Rheinland-Pfalz,
AZ,Landkreis Alzey-Worms,Alzey,Rheinland-Pfalz,
AZE,Landkreis Anhalt-Bitterfeld,Landkreis Anhalt-Zerbst (bis Herbst 2007),Sachsen-Anhalt,
B,Stadt Berlin,Berlin,Berlin,
B,"Berlin, Senat und Abgeordnetenhaus",Berlin,Berlin,Landesregierung
BA,Stadt Bamberg,Bamberg,Bayern,
BA,Landkreis Bamberg,Bamberg,Bayern,
BAD,Stadt Baden-Baden,Baden-Baden,Baden-Württemberg,
BAR,Landkreis Barnim,Barnim,Brandenburg,
BB,Landkreis Böblingen,Böblingen,Baden-Württemberg,
BBG,Salzlandkreis,Bernburg (Saale),Sachsen-Anhalt,
BBL,"Brandenburg, Landesregierung, Landtag und Polizei",Brandenburgische Landesregierung,Brandenburg,Landesregierung
BC,Landkreis Biberach,Biberach an der Riß,Baden-Württemberg,
BCH,Neckar-Odenwald-Kreis,Buchen (Odenwald),Baden-Württemberg,
BD,"Bundestag, Bundesrat, Bundespräsidialamt, Bundesregierung, Bundesministerien, Bundesfinanzverwaltung und Bundesverfassungsgericht",Bundesdienst,bundesweit,
BE,Kreis Warendorf,Beckum,Nordrhein-Westfalen,
BED,Landkreis Mittelsachsen,Brand-Erbisdorf,Sachsen,
BEI,Landkreis Beilngries,Beilngries,Bayern,auslaufend
BEL,Kreis Belzig,Belzig,Brandenburg,auslaufend
BER,Landkreis Barnim,Bernau bei Berlin,Brandenburg
BF,Kreis Steinfurt,Burgsteinfurt,Nordrhein-Westfalen
BGD,Landkreis Berchtesgadener Land,Berchtesgaden,Bayern
BGL,Landkreis Berchtesgadener Land,Berchtesgadener Land,Bayern
BH,Ortenaukreis,Bühl,Baden-Württemberg
BH,Landkreis Rastatt,Bühl,Baden-Württemberg
BI,Stadt Bielefeld,Bielefeld,Nordrhein-Westfalen
BID,Landkreis Marburg-Biedenkopf,Biedenkopf,Hessen
BIN,Landkreis Mainz-Bingen,Bingen am Rhein,Rheinland-Pfalz
BIR,Landkreis Birkenfeld,Birkenfeld,Rheinland-Pfalz
BIT,Eifelkreis Bitburg-Prüm,Bitburg,Rheinland-Pfalz
BIW,Landkreis Bautzen,Bischofswerda,Sachsen
BK,Rems-Murr-Kreis,Backnang,Baden-Württemberg
BK,Landkreis Schwäbisch Hall,Backnang,Baden-Württemberg
BK,Landkreis Börde,Backnang,Baden-Württemberg
BKS,Landkreis Bernkastel-Wittlich,Bernkastel-Kues,Rheinland-Pfalz
BL,Zollernalbkreis,Balingen,Baden-Württemberg
BLB,Kreis Siegen-Wittgenstein,Berleburg,Nordrhein-Westfalen
BLK,Burgenlandkreis,Burgenlandkreis,Sachsen-Anhalt
BM,Rhein-Erft-Kreis,Bergheim,Nordrhein-Westfalen
BN,Stadt Bonn,Bonn,Nordrhein-Westfalen
BNA,Landkreis Leipzig,Borna,Sachsen
BO,Stadt Bochum,Bochum,Nordrhein-Westfalen
BÖ,Landkreis Börde,Magdeburger Börde,Sachsen-Anhalt
BOG,Landkreis Straubing-Bogen,Bogen,Bayern
BOH,Kreis Borken,Bocholt,Nordrhein-Westfalen
BOR,Kreis Borken,Borken,Nordrhein-Westfalen
BOT,Stadt Bottrop,Bottrop,Nordrhein-Westfalen
BP,Bundespolizei,Bundespolizei,
BR,Landkreis Karlsruhe,Bruchsal,Baden-Württemberg
BRA,Landkreis Wesermarsch,Brake (Unterweser),Niedersachsen
BRB,Stadt Brandenburg an der Havel,Brandenburg an der Havel,Brandenburg
BRG,Landkreis Jerichower Land,Burg,Sachsen-Anhalt
BRI,Kreis Brilon,Brilon,Nordrhein-Westfalen,auslaufend
BRK,Landkreis Bad Kissingen,Bad Brückenau,Brandenburg,
BRL,Landkreis Goslar,Braunlage (Harz),Niedersachsen,
BRV,Landkreis Rotenburg (Wümme),Bremervörde,Niedersachsen,
BS,Stadt Braunschweig,Braunschweig,Niedersachsen,
BSB,Landkreis Osnabrück,Bersenbrück,Niedersachsen,
BSK,Landkreis Oder-Spree,Beeskow,Brandenburg,
BT,Stadt Bayreuth,Bayreuth,Bayern,
BT,Landkreis Bayreuth,Bayreuth,Bayern,
BTF,Landkreis Anhalt-Bitterfeld,Bitterfeld,Sachsen-Anhalt,
BU,Landkreis Burgdorf,Burgdorf,Niedersachsen,auslaufend
BÜD,Wetteraukreis,Büdingen,Hessen,
BUL,Landkreis Amberg-Sulzbach,Burglengenfeld,Bayern,
BUL,Landkreis Schwandorf,Burglengenfeld,Bayern,
BÜR,Kreis Paderborn,Büren,Nordrhein-Westfalen,
BÜS,"Gemeinde Büsingen am Hochrhein (Gemeinde im Landkreis Konstanz, deutsche Exklave in der Schweiz)",Büsingen am Hochrhein,Baden-Württemberg,
BÜZ,Landkreis Rostock,Bützow,Mecklenburg-Vorpommern,
BW,Wasserstraßen- und Schifffahrtsverwaltung des Bundes,Bundes-Wasserstraßen- und Schiffahrtsverwaltung,,
BWL,"Baden-Württemberg, Landesregierung, Landtag und Polizei",Baden-Württembergischer Landtag,Baden-Württemberg,Landesregierung
BYL,"Bayern, Landesregierung und Landtag",Bayerischer Landtag,Bayern,Landesregierung
BZ,Landkreis Bautzen,Bautzen,Sachsen,
BZA,Landkreis Bergzabern,Bergzabern,Rheinland-Pfalz,auslaufend
C,Chemnitz
CA,Calau
CAS,Castrop-Rauxel [Stadt]
CB,Cottbus [Landkreis]
CB,Cottbus
CE,Celle
CHA,Cham [Oberpfalz]
CLP,Cloppenburg
CLZ,Clausthal-Zellerfeld (Zellerfeld)
CO,Coburg
COC,Cochem-Zell (Cochem)
COE,Coesfeld [Westfalen]
CR,Crailsheim
CUX,Cuxhaven
CW,Calw
D,Düsseldorf [Stadt]
DA,Darmstadt-Dieburg (Darmstadt)
DA,Darmstadt
DAH,Dachau
DAN,Lüchow-Dannenberg (Lüchow)
DAU,Daun [Eifel]
DB,Deutsche Bundesbahn
DBR,Bad Doberan
DD,Dresden
DE,Dessau
DEG,Deggendorf
DEL,Delmenhorst [Stadt]
DGF,Dingolfing-Landau (Dingolfing)
DH,Diepholz
DI,Dieburg
DIL,Dillkreis (Dillenburg)
DIN,Dinslaken
DIZ,Unterlahnkreis (Diez)
DKB,Dinkelsbühl
DL,Döbeln
DLG,Dillingen [Donau]
DM,Demmin
DN,Düren
DO,Dortmund [Stadt]
DON,Donau-Ries (Donauwörth)
DS,Donaueschingen
DT,Lippe (Detmold)
DU,Duisburg [Stadt]
DUD,Duderstadt
DÜW,Bad Dürkheim [Weinstraße]
DW,Weißeritzkreis (Dippoldiswalde)
DZ,Delitzsch
E,Essen [Stadt]
EB,Eilenburg
EBE,Ebersberg
EBN,Ebern
EBS,Ebermannstadt
ECK,Eckernförde
ED,Erding
EE,Elbe-Elster (Herzberg)
EF,Erfurt
EG,Eggenfelden
EH,Eisenhüttenstadt
EHI,Ehingen [Donau]
EI,Eichstätt
EIC,Eichsfeld (Heiligenstadt)
EIH,Eichstätt
EIL,Eisleben
EIN,Einbeck
EIS,Eisenberg
EL,Emsland (Meppen)
EM,Emmendingen
EMD,Emden [Stadt]
EMS,Rhein-Lahn-Kreis (Bad Ems)
EN,Ennepe-Ruhr-Kreis (Schwelm)
ER,Erlangen [Stadt]
ERB,Odenwaldkreis (Erbach [Odenwald])
ERH,Erlangen-Höchstadt (Erlangen)
ERK,Erkelenz
ES,Esslingen [Neckar]
ESA,Eisenach
ESB,Eschenbach [Oberpfalz]
ESW,Werra-Meißner-Kreis (Eschwege)
EU,Euskirchen
EUT,Eutin
EW,Eberswalde
F,Frankfurt am Main [Stadt]
FAL,Soltau-Fallingbostel (Fallingbostel)
FB,Wetteraukreis (Friedberg [Hessen])
FD,Fulda
FDB,Friedberg [Bayern]
FDS,Freudenstadt
FEU,Feuchtwangen
FF,Frankfurt [Oder] [Stadt]
FFB,Fürstenfeldbruck
FG,Freiberg [Sachsen]
FH,Main-Taunus-Kreis (Frankfurt am Main-Höchst)
FI,Finsterwalde
FKB,Frankenberg [Eder]
FL,Flensburg [Stadt]
FLÖ,Flöha
FN,Bodenseekreis (Friedrichshafen)
FO,Forchheim
FOR,Forst
FR,Breisgau-Hochschwarzwald (Freiburg [Breisgau])
FR,Freiburg [Breisgau]
FRG,Freyung-Grafenau (Freyung)
FRI,Friesland (Jever)
FRW,Bad Freienwalde
FS,Freising
FT,Frankenthal [Pfalz] [Stadt]
FTL,Freital
FÜ,Fürth [Bayern]
FÜS,Füssen
FW,Fürstenwalde
FZ,Fritzlar-Homberg (Fritzlar)
G,Gera
GA,Gardelegen
GAN,Gandersheim (Bad Gandersheim)
GAP,Garmisch-Partenkirchen
GC,Chemnitzer Land (Glauchau)
GD,Schwäbisch Gmünd
GDB,Gadebusch
GE,Gelsenkirchen [Stadt]
GEL,Geldern
GEM,Gemünden [Main]
GEO,Gerolzhofen
GER,Germersheim
GF,Gifhorn
GG,Groß-Gerau
GHA,Geithain
GHC,Gräfenhainichen
GI,Gießen
GK,Geilenkirchen-Heinsberg (Erkelenz)
GL,Rheinisch-Bergischer Kreis (Bergisch Gladbach)
GLA,Gladbeck [Westfalen] (Stadt)
GM,Oberbergischer Kreis (Gummersbach)
GMN,Grimmen
GN,Gelnhausen
GNT,Genthin
GÖ,Göttingen
GOA,Sankt Goar
GOH,Sankt Goarshausen
GP,Göppingen
GR,Görlitz
GRA,Grafenau
GRH,Großenhain
GRI,Griesbach Rottal
GRM,Grimma
GRS,Gransee
GRZ,Greiz
GS,Goslar
GT,Gütersloh
GTH,Gotha
GÜ,Güstrow
GUB,Guben
GUN,Gunzenhausen
GV,Grevenbroich
GVM,Grevesmühlen
GW,Greifswald [Landkreis]
GZ,Günzburg
H,Hannover
HA,Hagen [Westfalen] [Stadt]
HAB,Hammelburg
HAL,Halle [Saale] [Stadt]
HAM,Hamm [Westfalen] [Stadt]
HAS,Haßberge (Haßfurt)
HB,Hansestadt Bremen und Bremerhaven
HBN,Hildburghausen
HBS,Halberstadt
HC,Hainichen
HCH,Hechingen
HD,Rhein-Neckar-Kreis [Heidelberg]
HDH,Heidenheim [Brenz]
HDL,Haldensleben
HE,Helmstedt
HEB,Hersbruck
HEF,Hersfeld-Rotenburg (Bad Hersfeld)
HEI,Dithmarschen (Heide [Holstein])
HEL,Hessen [Landesregierung und Landtag]
HER,Herne [Stadt]
HET,Hettstedt
HF,Herford
HG,Hochtaunuskreis (Bad Homburg vor der Höhe)
HGN,Hagenow
HGW,Hansestadt Greifswald
HH,Hansestadt Hamburg
HHM,Hohenmölsen
HI,Hildesheim
HIG,Heiligenstadt
HIP,Hilpoltstein [Mittelfranken]
HL,Hansestadt Lübeck
HM,Hameln-Pyrmont (Hameln)
HMÜ,Hannoversch Münden
HN,Heilbronn [Neckar]
HO,Hof [Saale]
HOG,Hofgeismar
HOH,Hofheim [Unterfranken]
HOL,Holzminden
HOM,Saar-Pfalz-Kreis (Homburg [Saar])
HOR,Horb [Neckar]
HÖS,Höchstadt [Aisch]
HOT,Hohenstein-Ernstthal
HP,Bergstraße (Heppenheim [Bergstraße])
HR,Schwalm-Eder-Kreis (Homberg [Efze])
HRO,Hansestadt Rostock
HS,Heinsberg
HSK,Hochsauerlandkreis (Meschede)
HST,Hansestadt Stralsund
HU,Main-Kinzig-Kreis (Hanau)
HÜN,Hünfeld
HUS,Husum
HV,Havelberg
HVL,Havelland (Rathenow)
HW,Halle [Westfalen]
HWI,Hansestadt Wismar
HX,Höxter
HY,Hoyerswerda
HZ,Herzberg
IGB,St. Ingbert [Stadt]
IK,Ilmkreis (Arnstadt)
IL,Ilmenau
ILL,Illertissen
IN,Ingolstadt
IS,Iserlohn
IZ,Steinburg (Itzehoe)
J,Jena
JB,Jüterbog
JE,Jessen
JEV,Friesland (Jever)
JL,Jerichower Land (Burg b. Magdeburg)
JÜL,Jülich
K,Köln [Stadt]
KA,Karlsruhe
KAR,Main-Spessart-Kreis (Karlstadt)
KB,Waldeck-Frankenberg (Korbach)
KC,Kronach
KE,Kempten [Allgäu] [Stadt]
KEH,Kelheim
KEL,Kehl
KEM,Kemnath
KF,Kaufbeuren [Stadt]
KG,Bad Kissingen
KH,Bad Kreuznach
KI,Kiel [Stadt]
KIB,Donnersbergkreis (Kirchheimbolanden)
KK,Kempen-Krefeld (Kempen [Niederrhein])
KL,Kaiserslautern
KLE,Kleve
KLZ,Klötze
KM,Kamenz
KN,Konstanz
KO,Koblenz
KÖN,Königshofen [Grabfeld]
KÖT,Köthen [Anhalt]
KÖZ,Kötzting
KR,Krefeld [Stadt]
KRU,Krumbach [Schwaben]
KS,Kassel
KT,Kitzingen
KU,Kulmbach
KÜN,Hohenlohe-Kreis (Künzelsau)
KUS,Kusel
KW,Königs Wusterhausen
KY,Kyritz
KYF,Kyffhäuserkreis (Sondershausen)
L,Leipziger Land
L,Lahn-Dill-Kreis (Wetzlar)
L,Leipzig [Stadt]
LA,Landshut [Bayern]
LAN,Landau [Isar]
LAT,Vogelsberg-Kreis (Lauterbach [Hessen])
LAU,Nürnberger Land (Lauf [Pegnitz])
LB,Ludwigsburg
LBS,Lobenstein
LBZ,Lübz
LC,Luckau
LD,Landau [Pfalz]
LDK,Lahn-Dill-Kreis (Wetzlar)
LDS,Dahme-Spreewald (Lübben)
LE,Lemgo
LEO,Leonberg [Württemberg]
LER,Leer [Ostfriesland]
LEV,Leverkusen [Stadt]
LF,Laufen [Salzach]
LG,Lüneburg
LH,Lüdinghausen
LI,Lindau [Bodensee]
LIB,Bad Liebenwerda
LIF,Lichtenfels
LIN,Lingen [Ems]
LIP,Lippe (Detmold)
LK,Lübbecke [Westfalen]
LL,Landsberg [Lech]
LM,Limburg-Weilburg (Limburg [Lahn])
LN,Lübben
LÖ,Lörrach
LÖB,Sächsischer Oberlausitzkreis (Löbau)
LOH,Lohr [Main]
LOS,Oder-Spree (Beeskow)
LP,Lippstadt
LR,Lahr [Schwarzwald]
LS,Märkischer Kreis (Lüdenscheid)
LSA,Sachsen-Anhalt [Landesregierung und Landtag]
LSN,Sachsen [Landesregierung und Landtag]
LSZ,Bad Langensalza
LU,Ludwigshafen [Rhein]
LÜD,Lüdenscheid
LUK,Luckenwalde
LÜN,Lünen [Stadt]
LWL,Ludwigslust
M,München
MA,Mannheim [Stadt]
MAB,Marienberg
MAI,Mainburg
MAK,Marktredwitz [Stadt]
MAL,Mallersdorf
MAR,Marktheidenfeld
MB,Miesbach
MC,Malchin
MD,Magdeburg
ME,Mettmann
MED,Süderdithmarschen (Meldorf)
MEG,Melsungen
MEI,Meißen
MEK,Mittlerer Erzgebirgskreis (Marienberg)
MEL,Melle
MEP,Meppen
MER,Merseburg
MES,Hochsauerlandkreis (Meschede)
MET,Mellrichstadt
MG,Mönchengladbach [Stadt]
MGH,Bad Mergentheim
MGN,Meiningen
MH,Mülheim [Ruhr] [Stadt]
MHL,Mühlhausen
MI,Minden-Lübbecke (Minden [Westfalen])
MIL,Miltenberg
MK,Märkischer Kreis (Lüdenscheid)
ML,Mansfelder Land (Lutherstadt Eisleben)
MM,Memmingen [Stadt]
MN,Unterallgäu (Mindelheim)
MO,Moers
MOD,Ostallgäu (Marktoberdorf)
MOL,Märkisch-Oderland (Seelow)
MON,Monschau
MOS,Neckar-Odenwald-Kreis (Mosbach)
MQ,Merseburg-Querfurt (Merseburg)
MR,Marburg-Biedenkopf (Marburg [Lahn])
MS,Münster [Westfalen] [Stadt]
MSP,Main-Spessart (Karlstadt)
MST,Mecklenburg-Strelitz (Neustrelitz)
MT,Westerwald (Montabaur)
MTK,Main-Taunus-Kreis (Hofheim am Taunus)
MTL,Muldentalkreis (Grimma)
MÜ,Mühldorf am Inn
MÜB,Münchberg [Oberfranken]
MÜL,Müllheim [Baden]
MÜN,Münsingen [Württemberg]
MÜR,Müritz (Waren)
MVL,Mecklenburg-Vorpommern [Landesregierung und Landtag]
MW,Mittweida
MY,Mayen
MYK,Mayen-Koblenz (Koblenz)
MZ,Mainz-Bingen (Mainz)
MZ,Mainz [Stadt]
MZG,Merzig-Wadern (Merzig [Saar])
N,Nürnberg [Stadt]
NAB,Nabburg
NAI,Naila
NAU,Nauen
NB,Neubrandenburg
ND,Neuburg-Schrobenhausen (Neuburg [Donau])
NDH,Nordhausen
NE,Neuss
NEA,Neustadt an der Aisch-Bad Windsheim (Neustadt an der Aisch)
NEB,Nebra [Unstrut]
NEC,Neustadt bei Coburg [Stadt]
NEN,Neunburg vorm Wald
NES,Rhön-Grabfeld (Bad Neustadt [Saale])
NEU,Hochschwarzwald (Titisee-Neustadt)
NEW,Neustadt an der Waldnaab
NF,Nordfriesland (Husum)
NH,Neuhaus [Rennsteig]
NI,Nienburg [Weser]
NIB,Süd-Tondern (Niebüll)
NK,Neunkirchen [Saar]
NL,Niedersachsen [Landesregierung und Landtag]
NM,Neumarkt [Oberpfalz]
NMB,Naumburg [Saale]
NMS,Neumünster [Stadt]
NÖ,Nördlingen
NOH,Grafschaft Bentheim (Nordhorn)
NOL,Niederschlesischer Oberlausitzkreis (Görlitz)
NOM,Northeim
NOR,Norden
NP,Neuruppin
NR,Neuwied [Rhein]
NRÜ,Neustadt am Rübenberge
NRW,Nordrhein-Westfalen [Landesregierung und Landtag]
NT,Nürtingen
NU,Neu-Ulm
NVP,Nordvorpommern (Grimmen)
NW,Neustadt [Weinstraße] [Stadt]
NWM,Nordwestmecklenburg (Grevesmühlen)
NY,Niesky
NZ,Neustrelitz
OA,Oberallgäu (Sonthofen)
OAL,Ostallgäu (Marktoberdorf)
OB,Oberhausen [Rheinland] [Stadt]
OBB,Obernburg [Main]
OBG,Osterburg
OC,Bördekreis (Oschersleben)
OCH,Ochsenfurt
OD,Stormarn (Bad Oldesloe)
OE,Olpe
OF,Offenbach [Main]
OG,Ortenaukreis (Offenburg)
OH,Ostholstein (Eutin)
OHA,Osterode am Harz
OHV,Oberhavel (Oranienburg)
OHZ,Osterholz (Osterholz-Scharmbeck)
OK,Ohrekreis (Haldensleben)
OL,Oldenburg [Stadt]
OL,Oldenburg [Landkreis] (Wildeshausen)
OLD,Oldenburg [Holstein]
OP,Rhein-Wupper-Kreis (Opladen)
OPR,Ostprignitz-Ruppin (Neuruppin)
OR,Oranienburg
OS,Osnabrück [Stadt]
OS,Osnabrück [Landkreis]
OSL,Oberspreewald-Lausitz (Senftenberg)
OTT,Land Hadeln (Otterndorf)
OTW,Ottweiler [Saar]
OVI,Oberviechtach
OVL,Obervogtland (Oelsnitz und Klingenthal)
OVP,Ostvorpommern (Anklam)
OZ,Oschatz
ÖHR,Öhringen [Württemberg]
P,Potsdam
PA,Passau
PAF,Pfaffenhofen an der Ilm
PAN,Rottal-Inn (Pfarrkirchen)
PAR,Parsberg
PB,Paderborn
PCH,Parchim
PE,Peine
PEG,Pegnitz
PER,Perleberg
PF,Pforzheim [Stadt]
PF,Enzkreis (Pforzheim)
PI,Pinneberg
PIR,Sächsische Schweiz (Pirna)
PK,Pritzwalk
PL,Plauen
PLÖ,Plön (Holstein)
PM,Potsdam-Mittelmark (Belzig)
PN,Pößneck
PR,Prignitz (Perleberg)
PRÜ,Prüm [Eifel]
PS,Pirmasens
PW,Pasewalk
PZ,Prenzlau
QFT,Querfurt
QLB,Quedlinburg
R,Regensburg
RA,Rastatt
RC,Reichenbach [Vogtland]
RD,Rendsburg-Eckernförde (Rendsburg)
RDG,Ribnitz-Damgarten
RE,Recklinghausen
REG,Regen
REH,Rehau
REI,Berchtesgadener Land (Bad Reichenhall)
RG,Riesa-Großenhain (Großenhain)
RH,Roth
RI,Grafschaft Schaumburg (Rinteln)
RID,Riedenburg [Bayern]
RIE,Riesa
RL,Rochlitz
RM,Röbel [Müritz]
RN,Rathenow
RO,Rosenheim
ROD,Roding
ROF,Rotenburg [Fulda]
ROH,Rotenburg [Wümme, Hannover]
ROK,Rockenhausen
ROL,Rottenburg [Laaber]
ROS,Rostock [Landkreis]
ROT,Rothenburg ob der Tauber
ROW,Rotenburg [Wümme]
RPL,Rheinland-Pfalz [Landesregierung und Landtag]
RS,Remscheid [Stadt]
RSL,Roßlau [Elbe]
RT,Reutlingen
RU,Rudolstadt
RÜD,Rheingau-Taunus-Kreis (Rüdesheim [Rhein])
RÜG,Rügen (Bergen)
RV,Ravensburg
RW,Rottweil
RWL,Nordrhein-Westfalen [Landesregierung und Landtag]
RY,Rheydt [Stadt]
RZ,Herzogtum Lauenburg (Ratzeburg)
S,Stuttgart
SAB,Saarburg [Bezirk Trier]
SAD,Schwandorf
SÄK,Säckingen
SAL,Saarland [Landesregierung und Landtag]
SAN,Stadtsteinach
SAW,Altmarkkreis (Salzwedel)
SB,Saarbrücken
SBG,Strasburg
SBK,Schönebeck [Elbe]
SC,Schwabach [Stadt]
SCZ,Schleiz
SD,Stade
SDH,Sondershausen
SDL,Stendal
SDT,Schwedt [Oder]
SE,Segeberg (Bad Segeberg)
SEB,Sebnitz
SEE,Seelow
SEF,Scheinfeld
SEL,Selb [Stadt]
SF,Oberallgäu (Sonthofen)
SFA,Soltau-Fallingbostel (Fallingbostel)
SFB,Senftenberg
SFT,Staßfurt
SG,Solingen [Stadt]
SGH,Sangerhausen
SH,Schleswig-Holstein [Landesregierung und Landtag]
SHA,Schwäbisch Hall
SHG,Schaumburg (Stadthagen)
SHK,Saale-Holzland-Kreis (Eisenberg)
SHL,Suhl
SI,Siegen
SIG,Sigmaringen
SIM,Rhein-Hunsrück-Kreis (Simmern)
SK,Saalkreis
SL,Schleswig-Flensburg (Schleswig)
SLE,Schleiden [Eifel]
SLF,Saalfeld-Rudolstadt (Saalfeld)
SLG,Saulgau
SLN,Schmölln
SLS,Saarlouis
SLÜ,Schlüchtern
SLZ,Bad Salzungen
SM,Schmalkalden-Meiningen (Meiningen)
SMÜ,Schwabmünchen
SN,Schwerin
SNH,Sinsheim [Elsenz]
SO,Soest
SOB,Schrobenhausen
SOG,Schongau
SOK,Saale-Orla-Kreis (Schleiz)
SOL,Soltau
SÖM,Sömmerda
SON,Sonneberg
SP,Speyer [Stadt]
SPB,Spremberg
SPN,Spree-Neiße (Forst)
SPR,Springe [Deister]
SR,Straubing [Stadt]
SR,Straubing-Bogen (Straubing)
SRB,Strausberg
SRO,Stadtroda
ST,Steinfurt
STA,Starnberg
STB,Sternberg
STD,Stade
STE,Staffelstein
STH,Schaumburg-Lippe (Stadthagen)
STL,Stollberg
STO,Stockach [Baden]
SU,Rhein-Sieg-Kreis (Siegburg)
SUL,Sulzbach-Rosenberg
SÜW,Südliche Weinstraße (Landau [Pfalz])
SW,Schweinfurt
SWA,Rheingau-Taunus-Kreis (Bad Schwalbach)
SY,Grafschaft Hoya (Syke)
SZ,Salzgitter [Stadt]
SZB,Schwarzenberg
TBB,Main-Tauber-Kreis (Tauberbischofsheim)
TE,Tecklenburg
TET,Teterow
TF,Teltow-Fläming (Luckenwalde)
TG,Torgau
THL,Thüringen [Landesregierung und Landtag]
TIR,Tirschenreuth
TO,Torgau-Oschatz (Torgau)
TÖL,Bad Tölz-Wolfratshausen (Bad Tölz)
TÖN,Eiderstedt (Tönning)
TP,Templin [Uckermark]
TR,Trier-Saarburg (Trier)
TR,Trier [Stadt]
TS,Traunstein [Oberbayern]
TT,Tettnang [Württemberg]
TÜ,Tübingen
TUT,Tuttlingen
ÜB,Überlingen [Bodensee]
UE,Uelzen
UEM,Ueckermünde
UER,Uecker-Randow (Pasewalk)
UFF,Uffenheim
UH,Unstrut-Hainich (Mühlhausen)
UL,Alb-Donau-Kreis (Ulm)
UL,Ulm [Donau] [Stadt]
UM,Uckermark (Prenzlau)
UN,Unna [Westfalen]
USI,Usingen [Taunus]
V,Vogtlandkreis (Plauen)
VAI,Vaihingen [Enz]
VB,Vogelsbergkreis (Lauterbach [Hessen])
VEC,Vechta
VER,Verden [Aller]
VIB,Vilsbiburg
VIE,Viersen
VIT,Viechtach
VK,Völklingen [Stadt]
VL,Villingen [Schwarzwald]
VOF,Vilshofen [Niederbayern]
VOH,Vohenstrauß
VS,Schwarzwald-Baar-Kreis (Villingen-Schwenningen)
W,Wuppertal [Stadt]
WA,Waldeck (Korbach)
WAF,Warendorf
WAK,Wartburgkreis (Bad Salzungen, Eisenach)
WAN,Wanne-Eickel [Stadt]
WAR,Warburg [Westfalen]
WAT,Wattenscheid [Stadt]
WB,Wittenberg
WBS,Worbis
WD,Wiedenbrück
WDA,Werdau
WE,Weimar
WEB,Oberwesterwaldkreis (Westerburg)
WEG,Wegscheid [Niederbayern]
WEL,Oberlahn-Kreis (Weilburg)
WEM,Wesermünde (Bremerhaven)
WEN,Weiden [Oberpfalz] [Stadt]
WER,Wertingen
WES,Wesel
WF,Wolfenbüttel
WG,Wangen [Allgäu]
WHV,Wilhelmshaven [Stadt]
WI,Wiesbaden [Stadt]
WIL,Bernkastel-Wittlich (Wittlich)
WIS,Wismar [Landkreis]
WIT,Witten [Ruhr] [Stadt]
WIZ,Witzenhausen
WK,Wittstock
WL,Harburg (Winsen [Luhe])
WLG,Wolgast
WM,Weilheim-Schongau (Weilheim [Oberbayern])
WMS,Wolmirstedt
WN,Rems-Murr-Kreis (Waiblingen)
WND,St. Wendel [Saar]
