Nationalitätszeichen,Unterscheidungszeichen,StadtOderKreis,Herleitung,HerleitungMarkiert,Bundesland.Iso3166-2,Bundesland.Name,Fußnoten,Bemerkung
D,G,Stadt Gera,Gera,Gera,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Greiz"
D,GA,Altmarkkreis Salzwedel,Gardelegen,GArdelegen,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,GAN,Northeim,Gandersheim,GANdersheim,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,GAP,Garmisch-Partenkirchen,Garmisch-Partenkirchen,GArmisch-Partenkirchen,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,GC,Zwickau,Glauchau,GlauChau,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,GD,Ostalbkreis,Gmünd,GmünD,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,GDB,Nordwestmecklenburg,Gadebusch,GaDeBusch,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,GE,Stadt Gelsenkirchen,Gelsenkirchen,GElsenkirchen,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,GEL,Kleve,Geldern,GELdern,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,GEO,"Haßberge, Schweinfurt",Gerolzhofen,GErOlzhofen,db570744-2875-4814-8782-05fb28e451ec,Bayern,"3,3",
D,GER,Germersheim,Germersheim,GERmersheim,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,GF,Gifhorn,Gifhorn,GiFhorn,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,GG,Groß-Gerau,Groß-Gerau,Groß-Gerau,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,GHA,Leipzig,Geithain,GeitHAin,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,GHC,Wittenberg,Gräfenhainichen,GräfenHainiChen,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,GI,Gießen,Gießen,GIeßen,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,GK,Heinsberg,Geilenkirchen,GeilenKirchen,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,GL,Rheinisch-Bergischer Kreis,Gladbach,GLadbach,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,GLA,Recklinghausen,Gladbeck,GLAdbeck,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,GM,Oberbergischer Kreis,Gummersbach,GumMersbach,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,GMN,Vorpommern-Rügen,Grimmen,GrimMeN,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,GN,Main-Kinzig-Kreis,Gelnhausen,GelnhauseN,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,GNT,Jerichower Land,Genthin,GeNThin,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,GOA,Rhein-Hunsrück-Kreis,Sankt Goar,Sankt GOAr,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,GOH,Rhein-Lahn-Kreis,Sankt Goarshausen,Sankt GOarsHausen,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,GP,Göppingen,Göppingen,GöpPingen,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,GR,Görlitz,Görlitz,GöRlitz,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,GRA,Freyung-Grafenau,Grafenau,GRAfenau,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,GRH,Meißen,Großenhain,GRoßenHain,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,GRI,Rottal-Inn,Griesbach,GRIesbach,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,GRM,Leipzig,Grimma,GRimMa,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,GRZ,Greiz,Greiz,GReiZ,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,GS,Goslar,Goslar,GoSlar,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,GT,Gütersloh,Gütersloh,GüTersloh,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,GTH,Gotha,Gotha,GoTHa,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,GUB,Spree-Neiße,Guben,GUBen,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,GUN,Weißenburg-Gunzenhausen,Gunzenhausen,GUNzenhausen,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,GV,Rhein-Kreis Neuss,Grevenbroich,GreVenbroich,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
